,image,superpixels,compactness,model,pixel_index,shap_value,cred_width
35,Llama.png,40,1000,resnet152,35,0.2946960585171703,7.757957698759391
0,Llama.png,50,1000,resnet152,0,-0.8947814930561906,9.158742473664537
1,Llama.png,50,1000,resnet152,1,-0.3965302785470417,9.10910395924818
2,Llama.png,50,1000,resnet152,2,1.221683334323053,9.18528909343045
3,Llama.png,50,1000,resnet152,3,0.09908983296219098,9.118880279616382
4,Llama.png,50,1000,resnet152,4,-0.2252222958849801,9.099243265086754
5,Llama.png,50,1000,resnet152,5,-0.44759590938255567,9.236187837119429
6,Llama.png,50,1000,resnet152,6,-0.4389894063639428,9.352957754755462
7,Llama.png,50,1000,resnet152,7,-0.5004394576159603,9.07431565025677
8,Llama.png,50,1000,resnet152,8,-0.7563162376993429,9.12410786433722
9,Llama.png,50,1000,resnet152,9,3.8411615987583736,8.98767195622494
10,Llama.png,50,1000,resnet152,10,-0.05076955652710691,9.113043434358193
11,Llama.png,50,1000,resnet152,11,-0.2735974736715301,9.090438541763532
12,Llama.png,50,1000,resnet152,12,-0.6683850136137628,9.07357868090842
13,Llama.png,50,1000,resnet152,13,-0.5343339150481778,9.22248729070593
14,Llama.png,50,1000,resnet152,14,-0.8944834626523424,9.23825726256857
