,image,superpixels,compactness,model,shap_value,background,predicted,predicted_var,P(e = 0)
2,Llama.png,30,100,resnet152,0.30484341126412584,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
3,Llama.png,30,100,resnet152,-1.1013778514446546,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
4,Llama.png,30,100,resnet152,-0.5219088066172941,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
5,Llama.png,30,100,resnet152,-1.7246130096452132,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
6,Llama.png,30,100,resnet152,-0.8248693696144342,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
7,Llama.png,30,100,resnet152,0.6695749843804295,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
8,Llama.png,30,100,resnet152,-0.9504014311320685,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
9,Llama.png,30,100,resnet152,-1.0761453117814908,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
10,Llama.png,30,100,resnet152,3.2877598374581503,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
11,Llama.png,30,100,resnet152,1.5217834428022032,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
12,Llama.png,30,100,resnet152,-0.9681141851710144,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
13,Llama.png,30,100,resnet152,-0.48215637284604407,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
14,Llama.png,30,100,resnet152,-1.6872771597704075,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
15,Llama.png,30,100,resnet152,1.6920390934725615,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
16,Llama.png,30,100,resnet152,1.1798627033532598,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
17,Llama.png,30,100,resnet152,1.8756096642660582,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
18,Llama.png,30,100,resnet152,1.422766190686314,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
19,Llama.png,30,100,resnet152,-0.7675617143068454,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
20,Llama.png,30,100,resnet152,2.7958696540549832,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
21,Llama.png,30,100,resnet152,0.47556192835608524,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
22,Llama.png,30,100,resnet152,0.7121650015579104,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
23,Llama.png,30,100,resnet152,1.6275423574861079,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
24,Llama.png,30,100,resnet152,2.3790415991209124,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
0,Llama.png,30,1000,resnet152,-1.6810352380555162,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
1,Llama.png,30,1000,resnet152,2.9362359622862693,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
2,Llama.png,30,1000,resnet152,-0.12435185786753022,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
3,Llama.png,30,1000,resnet152,-0.7437136965561253,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
4,Llama.png,30,1000,resnet152,-1.4129272504371655,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
5,Llama.png,30,1000,resnet152,-0.5348317974455687,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
6,Llama.png,30,1000,resnet152,-1.3762487733513273,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
7,Llama.png,30,1000,resnet152,-1.272989494385235,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
8,Llama.png,30,1000,resnet152,1.1511657505721467,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
9,Llama.png,30,1000,resnet152,-1.498607899034833,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
10,Llama.png,30,1000,resnet152,3.157666621568035,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
11,Llama.png,30,1000,resnet152,-1.3191536446776722,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
12,Llama.png,30,1000,resnet152,-0.28135410402528027,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
13,Llama.png,30,1000,resnet152,-0.8587899788041593,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
14,Llama.png,30,1000,resnet152,2.1931201252103065,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
15,Llama.png,30,1000,resnet152,1.5973270213047406,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
16,Llama.png,30,1000,resnet152,1.1937076471236263,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
17,Llama.png,30,1000,resnet152,1.8531376725231898,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
18,Llama.png,30,1000,resnet152,-1.1606711256342064,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
19,Llama.png,30,1000,resnet152,-1.322620446772941,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
20,Llama.png,30,1000,resnet152,-0.2911202889442368,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
21,Llama.png,30,1000,resnet152,2.5271891061719467,0,1.5385500351182282,0.9667985359712354,0.5828355600591687
