,Unnamed: 0,image,superpixels,compactness,model,shap_value,predicted,predicted_var,P(e = 0)
91,5,Llama.png,30,10,alexnet,1.269056493978916,10.30365612,1.55299589,0.3628265283118821
92,6,Llama.png,30,10,alexnet,0.2677008916453154,10.30365612,1.55299589,0.3628265283118821
93,7,Llama.png,30,10,alexnet,-0.8395969141770845,10.30365612,1.55299589,0.3628265283118821
94,8,Llama.png,30,10,alexnet,-1.4525545779010507,10.30365612,1.55299589,0.3628265283118821
95,9,Llama.png,30,10,alexnet,-0.4635992403340783,10.30365612,1.55299589,0.3628265283118821
96,10,Llama.png,30,10,alexnet,0.6045754301361161,10.30365612,1.55299589,0.3628265283118821
97,11,Llama.png,30,10,alexnet,0.5009296045018008,10.30365612,1.55299589,0.3628265283118821
98,12,Llama.png,30,10,alexnet,1.066915159556241,10.30365612,1.55299589,0.3628265283118821
99,13,Llama.png,30,10,alexnet,1.334227132311676,10.30365612,1.55299589,0.3628265283118821
100,14,Llama.png,30,10,alexnet,1.366742535774308,10.30365612,1.55299589,0.3628265283118821
101,15,Llama.png,30,10,alexnet,1.8893807511874927,10.30365612,1.55299589,0.3628265283118821
102,16,Llama.png,30,10,alexnet,2.2470440214242315,10.30365612,1.55299589,0.3628265283118821
103,17,Llama.png,30,10,alexnet,1.1559625872356103,10.30365612,1.55299589,0.3628265283118821
104,18,Llama.png,30,10,alexnet,2.6681618061726358,10.30365612,1.55299589,0.3628265283118821
105,19,Llama.png,30,10,alexnet,2.4528487594766197,10.30365612,1.55299589,0.3628265283118821
106,0,Llama.png,30,10,alexnet,-0.0725157570978156,10.30415579,2.14581983,0.2625910336796276
107,1,Llama.png,30,10,alexnet,2.141633466373241,10.30415579,2.14581983,0.2625910336796276
108,2,Llama.png,30,10,alexnet,-0.7439480143404502,10.30415579,2.14581983,0.2625910336796276
109,3,Llama.png,30,10,alexnet,-0.5518019950937916,10.30415579,2.14581983,0.2625910336796276
110,4,Llama.png,30,10,alexnet,-0.2422223442486988,10.30415579,2.14581983,0.2625910336796276
111,5,Llama.png,30,10,alexnet,6.30332675464527,10.30415579,2.14581983,0.2625910336796276
112,6,Llama.png,30,10,alexnet,-0.2177610209516673,10.30415579,2.14581983,0.2625910336796276
113,7,Llama.png,30,10,alexnet,-0.3357570594951795,10.30415579,2.14581983,0.2625910336796276
114,8,Llama.png,30,10,alexnet,2.900629892538251,10.30415579,2.14581983,0.2625910336796276
115,9,Llama.png,30,10,alexnet,0.7645504677570472,10.30415579,2.14581983,0.2625910336796276
116,10,Llama.png,30,10,alexnet,0.4148336897177991,10.30415579,2.14581983,0.2625910336796276
117,11,Llama.png,30,10,alexnet,0.4434998746070704,10.30415579,2.14581983,0.2625910336796276
118,12,Llama.png,30,10,alexnet,6.194929076367638,10.30415579,2.14581983,0.2625910336796276
119,13,Llama.png,30,10,alexnet,0.4927508384450885,10.30415579,2.14581983,0.2625910336796276
120,14,Llama.png,30,10,alexnet,1.098150427266047,10.30415579,2.14581983,0.2625910336796276
