,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
0,broccoli_cauli.jpg,7,10,googlenet,-0.007827971086571489,255,0.04711704415506569,0.006130819070040867,77.14519828959406,20
1,broccoli_cauli.jpg,7,10,googlenet,0.025324776104298036,255,0.04711704415506569,0.006130819070040867,77.14519828959406,20
2,broccoli_cauli.jpg,7,10,googlenet,0.03558477977382837,255,0.04711704415506569,0.006130819070040867,77.14519828959406,20
3,broccoli_cauli.jpg,7,10,googlenet,-0.02203070115069014,255,0.04711704415506569,0.006130819070040867,77.14519828959406,20
4,broccoli_cauli.jpg,7,10,googlenet,0.008603681554632203,255,0.04711704415506569,0.006130819070040867,77.14519828959406,20
5,broccoli_cauli.jpg,7,10,googlenet,0.004515429109119857,255,0.04711704415506569,0.006130819070040867,77.14519828959406,20
6,broccoli_cauli.jpg,7,10,googlenet,-0.009609598909994736,255,0.04711704415506569,0.006130819070040867,77.14519828959406,20
0,broccoli_cauli.jpg,9,1000,googlenet,-0.030205844639505118,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
1,broccoli_cauli.jpg,9,1000,googlenet,0.04597284540846738,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
2,broccoli_cauli.jpg,9,1000,googlenet,0.012839921147967333,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
3,broccoli_cauli.jpg,9,1000,googlenet,-0.005039356587391341,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
4,broccoli_cauli.jpg,9,1000,googlenet,0.015451461142759386,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
5,broccoli_cauli.jpg,9,1000,googlenet,-0.022395354456281744,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
6,broccoli_cauli.jpg,9,1000,googlenet,0.00027278853495993696,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
7,broccoli_cauli.jpg,9,1000,googlenet,0.030590562628305715,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
8,broccoli_cauli.jpg,9,1000,googlenet,-0.014903476574520323,median,0.05171607989010622,0.009977190449241304,53.11509379417663,10
0,broccoli_cauli.jpg,7,10,googlenet,-0.00890416903039127,0,0.06480393355041292,0.02011610689110541,21.451995800740583,20
1,broccoli_cauli.jpg,7,10,googlenet,0.024398298750008166,0,0.06480393355041292,0.02011610689110541,21.451995800740583,20
2,broccoli_cauli.jpg,7,10,googlenet,0.09857070851390669,0,0.06480393355041292,0.02011610689110541,21.451995800740583,20
3,broccoli_cauli.jpg,7,10,googlenet,-0.013624087981567602,0,0.06480393355041292,0.02011610689110541,21.451995800740583,20
4,broccoli_cauli.jpg,7,10,googlenet,-0.011349319604748304,0,0.06480393355041292,0.02011610689110541,21.451995800740583,20
5,broccoli_cauli.jpg,7,10,googlenet,0.022137375161320874,0,0.06480393355041292,0.02011610689110541,21.451995800740583,20
6,broccoli_cauli.jpg,7,10,googlenet,-0.07963478893702057,0,0.06480393355041292,0.02011610689110541,21.451995800740583,20
0,broccoli_cauli.jpg,7,10,googlenet,-0.0007518933999294008,mean,0.043546397220328416,0.0041366755689863565,116.38553619160601,20
1,broccoli_cauli.jpg,7,10,googlenet,0.015935942564925788,mean,0.043546397220328416,0.0041366755689863565,116.38553619160601,20
2,broccoli_cauli.jpg,7,10,googlenet,-0.0021763602822351424,mean,0.043546397220328416,0.0041366755689863565,116.38553619160601,20
3,broccoli_cauli.jpg,7,10,googlenet,-0.0081920170344104,mean,0.043546397220328416,0.0041366755689863565,116.38553619160601,20
4,broccoli_cauli.jpg,7,10,googlenet,0.004107728065620615,mean,0.043546397220328416,0.0041366755689863565,116.38553619160601,20
5,broccoli_cauli.jpg,7,10,googlenet,0.024831641982055494,mean,0.043546397220328416,0.0041366755689863565,116.38553619160601,20
6,broccoli_cauli.jpg,7,10,googlenet,0.00029760901395152386,mean,0.043546397220328416,0.0041366755689863565,116.38553619160601,20
0,broccoli_cauli.jpg,7,10,googlenet,-0.0025920104172207628,median,0.0421087397516871,0.0043085621585868756,104.61949641452038,20
1,broccoli_cauli.jpg,7,10,googlenet,0.014644678850380906,median,0.0421087397516871,0.0043085621585868756,104.61949641452038,20
2,broccoli_cauli.jpg,7,10,googlenet,0.0006452364827149322,median,0.0421087397516871,0.0043085621585868756,104.61949641452038,20
3,broccoli_cauli.jpg,7,10,googlenet,-0.008099539896051975,median,0.0421087397516871,0.0043085621585868756,104.61949641452038,20
4,broccoli_cauli.jpg,7,10,googlenet,0.0022698155027779747,median,0.0421087397516871,0.0043085621585868756,104.61949641452038,20
5,broccoli_cauli.jpg,7,10,googlenet,0.02747667428191774,median,0.0421087397516871,0.0043085621585868756,104.61949641452038,20
6,broccoli_cauli.jpg,7,10,googlenet,-0.0004170039416488626,median,0.0421087397516871,0.0043085621585868756,104.61949641452038,20
0,broccoli_cauli.jpg,14,30,googlenet,-0.013718995426279572,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
1,broccoli_cauli.jpg,14,30,googlenet,0.0011123053544579587,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
2,broccoli_cauli.jpg,14,30,googlenet,-0.013863428592926122,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
3,broccoli_cauli.jpg,14,30,googlenet,-0.003642971246879941,mean,0.034004218925841156,0.010624762985652441,52.3848883981063,20
